번호,제목,제목url,댓글,글쓴이,글쓴이ip,조회,추천,상세시간,내용,첨부이미지
5494643,"아렌델타임즈[마을소식] 아렌델, 유령들의 밤 축제로 밤새 떠들썩!",https://gall.dcinside.com/board/view/?id=frozen&no=5494643&page=1,,아렌델시민A,,2,0,2024.10.20 23:53:43,"유령들의 밤을 맞아 특별한 축제를 개최!10월 마지막주, 아렌델 광장에서 펼쳐지는 이번 축제는 유령 코스튬 콘테스트, 귀신 이야기 구연 대회, 으스스한 음식 경연대회 등 다채로운 프로그램으로 가득하다. 아렌델 시민들은 물론, 인근 마을 주민들까지 참여하여 함께 즐기는 축제의 장이 될 예정.특히 유령 코스튬 콘테스트에서는 가장 창의적이고 무서운 코스튬을 선보인 참가자에게 왕실에서 하사하는 특별한 선물이 주어진다. 그밖에도 으스스한 분위기의 퍼레이드가 행진하며 축제의 열기를 더하고 신비로운 마술사의 공연도 예정 되어있다. 시민들은 함께 유령들의 밤 축제에 참여해 잊지 못할 밤을 경험해보자!------------아렌델소식지아렌델타임",https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a8219bdd8d6236e83fc1132113ea2822c9c858882b200b&amp;f_no=daily_times_71.png
5494642,용아몰 가보고싶은데 볼 영화가 없네 코돌비도,https://gall.dcinside.com/board/view/?id=frozen&no=5494642&page=1,,ㅇㅇ,221.152,3,0,2024.10.20 23:53:00,#NAME?,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2f98df826e30e73ec72797bbeb8523e6999c879025dc943c65c2c60e3ddd3d758316d52318108b54d6adaecc0642a96e61979c898d9904a4&amp;f_no=frozen-20240623-143129-000-resize.jpg
5494641,여성안심택배보관함 이름 좀 띠껍네...,https://gall.dcinside.com/board/view/?id=frozen&no=5494641&page=1,,멍붕슨,,21,0,2024.10.20 23:16:23,쓸때마다 죄짓는 기분임ㅇㅇ...,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375ab2891db836135e53ec3d31b234e30f0dcfc258af501c95a427535578cbc34aa72c30a1bd5afeb0ad195fa55b7e7149d554c85&amp;f_no=owgenji-20241019-100535-000.jpg
5494640,생각해보면 이짤들이 훨씬 유해한 거 같은데,https://gall.dcinside.com/board/view/?id=frozen&no=5494640&page=1,1,ㅇㅇ,222.107,22,0,2024.10.20 23:07:11,신성모독 Lv.9 쯤에 해당함,"https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2f9ad9836730e639c58ffb4b2f7921ef599bf024cc6ca8926f60bfe3dd0aa69522628200c185fa3125250d57acd79f0881299e044188128a755111&amp;f_no=F5B2E136-DC08-4448-B7F7-B39684C51994.jpg
https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375aa2f9ad9836730e639c58ff14c292b70ee099cf021cf6cdf931bede1c9568806658bcf2d322cf87648ee5314cd1c62797002076b83cc46253adb4d95&amp;f_no=C6BEDE04-9CC9-4B42-9E87-F8FE7E11D7CB.jpg"
5494639,글리젠이 왜 이리 높나 싶더니,https://gall.dcinside.com/board/view/?id=frozen&no=5494639&page=1,2,ㅇㅇ,118.235,26,0,2024.10.20 23:03:40,글 내용과 댓글들 무슨 말인지 하나도 모르겠다,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82190dd846530e938c4ce532c4535bb528d73d1b606965df95dfb139fd8fc2ec972168b97aeba0c51d96ea50ec9b6c25f08&amp;f_no=frozen-20220926-173131-001.png
5494637,스타는 뭔 좀비도 아니고,https://gall.dcinside.com/board/view/?id=frozen&no=5494637&page=1,3,ㅇㅇ,59.14,37,0,2024.10.20 21:59:29,이영호님 복귀했네요,
5494636,프3 욕할라면 프1프2 합쳐서 100번은 봐야지,https://gall.dcinside.com/board/view/?id=frozen&no=5494636&page=1,8,치요모모,,47,0,2024.10.20 21:58:29,난 겨울왕국이 내 인생 망쳐서 욕할 자격 있음  - dc official App,
5494635,고닉오티 이거임?,https://gall.dcinside.com/board/view/?id=frozen&no=5494635&page=1,6,ㅇㅇ,,62,0,2024.10.20 21:39:23,,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82f91dd846634e439c9f29edf2dc72b90f0ca082d9fa51621628a341224fa971a8dfd21dcaa933f7e828aad1ff652b3b904&amp;f_no=frozen-20240330-144608-000.png
5494634,아니 근데 59.14님 혹시 고닉오티,https://gall.dcinside.com/board/view/?id=frozen&no=5494634&page=1,2,멍붕슨,,34,0,2024.10.20 21:35:44,다운받아둔거 있음? 님 추가한버전 그거 클리너 돌리면서 날아가버림 시발,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82f91dd856332e33dc64fd934671eb3c53db64fd4d70beff3af3b960ddf87b6f2ad8829a82758c6bdf52239e0a964c166d2d6&amp;f_no=owgenji-20241019-100535-000.jpg
5494633,프3 욕하는 애들 특징이 다 일애니로 넘어간 애들임ㅇㅇ,https://gall.dcinside.com/board/view/?id=frozen&no=5494633&page=1,11,멍붕슨,,60,2,2024.10.20 21:29:33,난 엘사(+@)만 보고 살아와서 그녀들의 존재의의가 곧 나의 존재 이유라 프34 무조건 나와야한다고ㅅㅂ,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18ce5b0aecbd92f45e375a82f91dd856332e33dc64fd13a364fb79461bc4fd4d70beff3af3b285c72c433f8919f5639318856724e217528ecb4b197f2da&amp;f_no=owgenji-20241019-100535-000.jpg
