번호,제목,제목url,댓글,글쓴이,글쓴이ip,조회,추천,상세시간,내용,첨부이미지
5494392,아직 많이 계시는구만,https://gall.dcinside.com/board/view/?id=frozen&no=5494392&page=1,,영화조아,,10,0,2024.10.15 23:21:00,굳,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacdb4e777410c49f66baf7e3f58e57acc041ebc446eaac84206c50f0585da4824866ea94a5a4f5d7d99bf5f585ebbf4c145004a3cc5981ecb7&amp;f_no=oticket-20231127-174901-003-resize.jpg
5494389,틴더가 뭐임,https://gall.dcinside.com/board/view/?id=frozen&no=5494389&page=1,3,ㅇㅇ,221.152,34,0,2024.10.15 21:15:20,- dc official App,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d109a2d34c717f15c59469bc13e6113ffae4da0647c7a020b5b985b0a73f02805bd736faa0f0374a66f7083e926d82473fd7ed47f40f972cd765&amp;f_no=frozen-20240623-143129-000-resize.jpg
5494387,이불에서 막 구린내나,https://gall.dcinside.com/board/view/?id=frozen&no=5494387&page=1,4,쥬디홉스,,42,0,2024.10.15 20:36:39,ㅅㅂ코인세탁소 가야겠다,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d109a0d74d727614cb976733e65851e6c1b402a0e145ea8cb834319ebbe20f4fe9a36aaca396222cbf2840ec096c4e85b244bf04cb2bfa5b3756df12c8&amp;f_no=C0B35636-D04A-4176-9325-AE5B730C3EC6.jpg
5494386,아,https://gall.dcinside.com/board/view/?id=frozen&no=5494386&page=1,,멍붕슨,,25,0,2024.10.15 20:18:00,ㅈ됐네,
5494385,안나 조아,https://gall.dcinside.com/board/view/?id=frozen&no=5494385&page=1,2,ㅇㅇ,222.107,44,0,2024.10.15 19:58:07,1        이미지 순서 ON2        이미지 순서 ON3        이미지 순서 ON4        이미지 순서 ON분탕 하나로 퀸 자리 꿰찬,"https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d109a2d14a707615c4936be35d4752397db04c03b00a8ccf581442f1e955808a61679c650a6eb4e82e2777803f02e3a3e480bf68e213b7db36a42dcfb2&amp;f_no=811D630B-3189-4190-9BC7-7F87B6A950B8.jpg
https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d109a2d14a707615c4936be30444073f26e44f03b0778cba586649b609b9fd9c6024d23017e19f8f8003cbe19136446e49e3dde2f3682ed581083bc8ef&amp;f_no=E1DDD8FE-ED14-4B18-B91A-4C830DF3F809.jpg
https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d109a2d14a707615c4936be30440556f20e54c50b00785b829153404100ea98b0d8bebeb7ab99c7f82465d9675927ac4a52e935217515b5273c200ebbb&amp;f_no=58F57E58-D6EF-426F-A6D1-FA58D78355A0.jpg
https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d109a2d14a707615c4936be30f4c053e24eb1a53b0718ac65a14448d292b84fe0a84a000ee9af5262637538a349efce1ccf66db8155138f52abafe3e99&amp;f_no=C78F65E4-AF97-4DAE-ADFD-16DBA7B1A697.jpg"
5494382,겨울왕국2 보는데 안나 못생겨서 더 보질 못하겠네,https://gall.dcinside.com/board/view/?id=frozen&no=5494382&page=1,7,키갤람,106.101,105,2,2024.10.15 19:28:23,엘사얼굴 나오다가 갑자기 안나 얼빡 장면으로 바뀌는데 진심 한대 칠뻔 했다,"https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d108a5da48707010c7946d0cc6059f2cdf3b350e330d3de796b5f0f761d3a9155d9963&amp;f_no=1000029908.png
https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d108a5da48707010c7946d0cc809cd7fdd303a59330d3de796b5f053eb9db47e168db0&amp;f_no=1000029911.png"
5494381,안-시,https://gall.dcinside.com/board/view/?id=frozen&no=5494381&page=1,2,ㅇㅇ,118.235,25,2,2024.10.15 18:21:25,안-시,https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacdb4e777415c59e6865f06ba5233d7b601409911663a1d9982ffb355ab02146fd342d9c05cb64512b5a4e0e2dd67304&amp;f_no=elsa-20241005-095425-003.webp
5494380,저녁은 순대국밥,https://gall.dcinside.com/board/view/?id=frozen&no=5494380&page=1,1,ㅇㅇ,118.235,21,0,2024.10.15 18:19:43,국물이 입에 들어가니 살것같다,"https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacdb4e777415c59e6865a53afa256d7d614009c44820f2c09b14181876bd03351551c6e9db71d0&amp;f_no=020241015_181551.jpg
https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacdb4e777415c59e6865a26dfb21627e661109b01567ae98c56f57d60629e0c51b20cc113dd7cba2449550b0ac65bb20030f5e&amp;f_no=Download_2014_08_05_10_25_08.jpg"
5494379,군대 대신 가고 월급 나눈다는게 무슨 말임?,https://gall.dcinside.com/board/view/?id=frozen&no=5494379&page=1,5,ㅇㅇ,118.235,65,0,2024.10.15 15:08:15,병무청 역사상 이런일 처음이라는데 반으로 나눠 쓸 만큼 병사 월급이 많나? 아니면 무슨 빚을 지거나 신세져서 대신 군대 가준건가? 아무리 이해하려해도 이해가 안된다,"https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacdb4e777415c59e6865f43bf7206e7c344009a71962a591c47d61929505da83861bda92cdaf9f470872af2d4d3c8abe22b657c81fd175&amp;f_no=Screenshot_20241015_150449_NAVER.jpg
https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacdb4e777415c59e6865ac3bf723622c33470992087fba91c484851c05d7154a02c2c630ec7611919c8950d6db&amp;f_no=frozen-cap2-1414591771.jpg"
5494378,점심 처묵,https://gall.dcinside.com/board/view/?id=frozen&no=5494378&page=1,,ㅇㅇ,118.235,22,0,2024.10.15 13:59:46,김치우동 주먹밥 생선까스,"https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacdb4e777415c59e6865a43ca1776d76674509c44820f2c09ba2449ef36cd8b5bf60b792bec8dd&amp;f_no=020241015_113828.jpg
https://image.dcinside.com/download.php?no=24b0d769e1d32ca73fe98ffa11d02831708447936b6fafa39241ffd18fe0b0aec53f5021d7d10bacdb4e777415c59e6865a56ba2746a2f371309911663a1d998fe556ae2483d5914d6ebaf84a8b20e2c8c424717f29b&amp;f_no=elsa-20241014-232425-012.png"
